InstanceID,Instance type,Instance family,Availability zones,vCPUs,Architecture,Cores,Memory (MiB),Storage (GB),Storage type,OnDemandInstancepricing
1,2xlarge,a1,S001,8,arm64,8,16384,,,0.204
2,4xlarge,a1,S001,16,arm64,16,32768,,,0.408
3,large,a1,S001,2,arm64,2,4096,,,0.051
4,medium,a1,S001,1,arm64,1,2048,,,0.0255
5,metal,a1,S001,16,arm64,,32768,,,0.408
6,xlarge,a1,S001,4,arm64,4,8192,,,0.102
7,2xlarge,c4,S001,8,x86_64,4,15360,,,0.398
8,4xlarge,c4,S001,16,x86_64,8,30720,,,0.796
9,8xlarge,c4,S001,36,x86_64,18,61440,,,1.591
10,large,c4,S002,2,x86_64,1,3840,,,0.1
11,xlarge,c4,S002,4,x86_64,2,7680,,,0.199
12,12xlarge,c5,S002,48,x86_64,24,98304,,,2.04
13,18xlarge,c5,S002,72,x86_64,36,147456,,,3.06
14,24xlarge,c5,S002,96,x86_64,48,196608,,,4.08
15,2xlarge,c5,S002,8,x86_64,4,16384,,,0.34
16,4xlarge,c5,S002,16,x86_64,8,32768,,,0.68
17,9xlarge,c5,S002,36,x86_64,18,73728,,,1.53
18,large,c5,S002,2,x86_64,1,4096,,,0.085
19,metal,c5,S002,96,x86_64,,196608,,,4.08
20,xlarge,c5,S003,4,x86_64,2,8192,,,0.17
21,12xlarge,c5a,S003,48,x86_64,24,98304,,,1.848
22,16xlarge,c5a,S003,64,x86_64,32,131072,,,2.464
23,24xlarge,c5a,S003,96,x86_64,48,196608,,,3.696
24,2xlarge,c5a,S003,8,x86_64,4,16384,,,0.308
25,4xlarge,c5a,S003,16,x86_64,8,32768,,,0.616
26,8xlarge,c5a,S003,32,x86_64,16,65536,,,1.232
27,large,c5a,S003,2,x86_64,1,4096,,,0.077
28,xlarge,c5a,S003,4,x86_64,2,8192,,,0.154
29,12xlarge,c5d,S003,48,x86_64,24,98304,1800,ssd,2.304
30,18xlarge,c5d,S004,72,x86_64,36,147456,1800,ssd,3.456
31,24xlarge,c5d,S004,96,x86_64,48,196608,3600,ssd,4.608
32,2xlarge,c5d,S004,8,x86_64,4,16384,200,ssd,0.384
33,4xlarge,c5d,S004,16,x86_64,8,32768,400,ssd,0.768
34,9xlarge,c5d,S004,36,x86_64,18,73728,900,ssd,1.728
